department,quarter,planned_hires,avg_time_to_fill_days,quarterly_cost,cumulative_hires,urgency
Finance,Q1,10,40,660000,10,Medium
Finance,Q2,15,40,990000,25,Medium
Finance,Q3,15,40,990000,40,Medium
Finance,Q4,10,40,660000,50,Medium
HR,Q1,3,35,144000,3,Medium
HR,Q2,5,35,240000,8,Medium
HR,Q3,5,35,240000,13,Medium
HR,Q4,3,35,144000,16,Medium
IT,Q1,19,55,1425000,19,High
IT,Q2,29,55,2175000,48,High
IT,Q3,29,55,2175000,77,High
IT,Q4,19,55,1425000,96,High
Legal,Q1,3,50,252000,3,High
Legal,Q2,5,50,420000,8,High
Legal,Q3,5,50,420000,13,High
Legal,Q4,3,50,252000,16,High
Operations,Q1,23,45,1242000,23,Medium
Operations,Q2,34,45,1836000,57,Medium
Operations,Q3,34,45,1836000,91,Medium
Operations,Q4,23,45,1242000,114,Medium
Sales,Q1,12,30,720000,12,Standard
Sales,Q2,19,30,1140000,31,Standard
Sales,Q3,19,30,1140000,50,Standard
Sales,Q4,12,30,720000,62,Standard
